Sentence;True Label;"Binary
FFNN";"Binary
Naive Bayes";"Multiclass
FFNN";"Multiclass
Naive Bayes"
( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli;positive;negative;positive;neutral;positive
( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o;negative;negative;negative;negative;positive
18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .;positive;negative;positive;neutral;neutral
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .;negative;negative;negative;negative;neutral
4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .;positive;negative;positive;positive;positive
A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .;negative;negative;positive;neutral;neutral
A total of 140 jobs will be reduced at the Raahe Steel Works .;negative;negative;negative;negative;neutral
According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+�meri , the Northernmost part of the Gulf of Bothnia .;negative;negative;positive;neutral;neutral
According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .;negative;negative;negative;neutral;positive
According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .;negative;negative;negative;neutral;neutral
Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .;positive;negative;positive;neutral;positive
Applying for summer work is seen as laborious and stressful .;negative;negative;positive;positive;neutral
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .;negative;negative;negative;negative;neutral
As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .;negative;negative;negative;neutral;neutral
At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .;positive;negative;positive;positive;neutral
At this growth rate , paying off the national debt will be extremely painful .;negative;negative;positive;positive;positive
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .;negative;negative;positive;neutral;neutral
Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement .;positive;negative;positive;neutral;neutral
Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .;negative;negative;negative;negative;neutral
Cash flow from operating activities is estimated to be positive .;positive;negative;positive;positive;positive
Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .;positive;negative;negative;positive;positive
Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .;positive;negative;positive;positive;positive
Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .;negative;negative;negative;negative;neutral
Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .;positive;negative;positive;neutral;neutral
EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .;positive;negative;negative;positive;positive
EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .;positive;negative;positive;positive;positive
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .;negative;negative;negative;negative;positive
Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .;negative;negative;positive;negative;neutral
Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia .;positive;negative;positive;positive;neutral
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .;positive;negative;positive;positive;neutral
Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .;positive;negative;positive;positive;neutral
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .;positive;negative;positive;positive;positive
Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .;negative;negative;positive;negative;neutral
Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .;positive;negative;positive;positive;neutral
Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .;positive;negative;positive;positive;positive
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .;negative;negative;positive;neutral;neutral
Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .;negative;negative;positive;positive;positive
Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .;negative;negative;positive;positive;neutral
