"";"sentence";"sentiment";"prep_standard";"prep_full";"prep_masked"
0;"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .";1;"gran no plan move production russia although grow";"gran no plan move production russia although grow";"gran no plan move production russia although grow"
1;"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .";1;"technopolis plan develop stage area no less 100 000 square meter order host work computer technology telecommunication statement say";"technopolis plan develop stage area no less 100000 square meter order host work computer technology telecommunication statement say";"technopolis plan develop stage area no less [NUMBER] square meter order host work computer technology telecommunication statement say"
2;"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .";0;"international electronic industry elcoteq lay ten employee tallinn facility contrary early layoff contract rank office worker daily postimees report";"international electronic industry elcoteq lay ten employee tallinn facility contrary early layoff contract rank office worker daily postimees report";"international electronic industry elcoteq lay ten employee tallinn facility contrary early layoff contract rank office worker daily postimees report"
3;"With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .";2;"new production plant increase capacity meet expected increase demand improve raw material therefore increase production profitability";"new production plant increase capacity meet expected increase demand improve raw material therefore increase production profitability";"new production plant increase capacity meet expected increase demand improve raw material therefore increase production profitability"
4;"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .";2;"update strategy 2009 2012 basware target long term net sale growth range 20 40 operating profit margin 10 20 net sale";"update strategy 2009-2012 basware target long-term net sale growth range 20-40pct operating profit margin 10-20pct net sale";"update strategy [DATE] [DATE] basware target long-term net sale growth range [NUMBER] [PERCENT] operating profit margin [NUMBER] [PERCENT] net sale"
5;"FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .";2;"financing aspocomp growth aspocomp aggressively pursue growth strategy increasingly focus technologically more demanding hdi print circuit board pcbs";"financing aspocomp growth aspocomp aggressively pursue growth strategy increasingly focus technologically more demanding hdi print circuit board pcbs";"financing aspocomp growth aspocomp aggressively pursue growth strategy increasingly focus technologically more demanding hdi print circuit board pcbs"
6;"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .";2;"last 2010 componenta net sale double eur131m eur76m earlier move zero pre tax profit pre tax loss eur7m";"last 2010 componenta net sale double eur131m eur76m earlier move zero pre-tax profit pre-tax loss eur7m";"last [DATE] componenta net sale double eur131m eur76m earlier move zero pre-tax profit pre-tax loss eur7m"
7;"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .";2;"third 2010 net sale increase 5 2 eur 205 5 mn operating profit 34 9 eur 23 5 mn";"third 2010 net sale increase 5.2pct eur205.5mn operate profit 34.9pct eur23.5mn";"third [DATE] net sale increase [PERCENT] [MONEY] operate profit [PERCENT] [MONEY]"
8;"Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .";2;"operating profit rise eur 13 1 mn eur 8 7 mn corresponding 2007 represent 7 7 net sale";"operating profit rise eur13.1mn eur8.7mn corresponding 2007 represent 7.7pct net sale";"operating profit rise [MONEY] [MONEY] corresponding [DATE] represent [PERCENT] net sale"
9;"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .";2;"operating profit total eur 21 1 mn up eur 18 6 mn 2007 represent 9 7 net sale";"operating profit total eur21.1mn up eur18.6mn 2007 represent 9.7pct net sale";"operating profit total [MONEY] up [MONEY] [DATE] represent [PERCENT] net sale"
10;"TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .";2;"teliasonera tlsn say offer line strategy increase ownership core business holding strengthen eesti telekom offering customer";"teliasonera tlsn say offer line strategy increase ownership core business holding strengthen eesti telekom offering customer";"teliasonera tlsn say offer line strategy increase ownership core business holding strengthen eesti telekom offering customer"
11;"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .";2;"stora enso norske skog real upm kymmene credit suisse boston cfsb raise fair value share four large nordic forestry";"stora enso norske skog m-real upm-kymmene credit suisse boston cfsb raise fair value share 4 large nordic forestry";"stora enso norske skog m-real upm-kymmene credit suisse boston cfsb raise fair value share [NUMBER] large nordic forestry"
12;"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .";2;"purchase agreement 7 200 ton gasoline delivery hamina terminal sign neste oil average platts index september plus eight u dollar month";"purchase agreement 7200 ton gasoline delivery hamina terminal sign neste oil average platts index september plus 8 u dollar month";"purchase agreement [NUMBER] ton gasoline delivery hamina terminal sign neste oil average platts index september plus [NUMBER] u dollar month"
13;"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .";2;"talentum report operating profit increase eur 20 5 mn 2005 eur 9 3 mn 2004 net sale total eur 103 3 mn up eur 96 4 mn";"talentum report operating profit increase eur20.5mn 2005 eur9.3mn 2004 net sale total eur103.3mn up eur96.4mn";"talentum report operating profit increase [MONEY] [DATE] [MONEY] [DATE] net sale total [MONEY] up [MONEY]"
14;"Clothing retail chain Sepp+�l+� 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .";2;"clothe retail chain sepp l sale increase 8 eur 155 2 mn operating profit rise eur 31 1 mn eur 17 1 mn 2004";"clothe retail chain sepp l sale increase 8pct eur155.2mn operating profit rise eur31.1mn eur17.1mn 2004";"clothe retail chain sepp l sale increase [PERCENT] [MONEY] operating profit rise [MONEY] [MONEY] [DATE]"
15;"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .";2;"consolidated net sale increase 16 reach eur74 8 operating profit amount eur0 9 compare loss eur0 7 prior";"consolidated net sale increase 16pct reach eur74.8m operating profit amount eur0.9m compare loss eur0.7m prior";"consolidated net sale increase [PERCENT] reach [MONEY] [MEASUREMENT] operating profit amount [MONEY] [MEASUREMENT] compare loss [MONEY] [MEASUREMENT] prior"
16;"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .";2;"foundry division report sale increase 9 7 eur 63 1 mn eur 57 5 mn corresponding 2006 sale machine shop division increase 16 4 eur 41 2 mn eur 35 4 mn corresponding 2006";"foundry division report sale increase 9.7pct eur63.1mn eur57.5mn corresponding 2006 sale machine shop division increase 16.4pct eur41.2mn eur35.4mn corresponding 2006";"foundry division report sale increase [PERCENT] [MONEY] [MONEY] corresponding [DATE] sale machine shop division increase [PERCENT] [MONEY] [MONEY] corresponding [DATE]"
17;"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .";2;"afx share close high lead announce plan team up sanyo manufacture 3g handset nokian tyre fourth earnings report beat analyst expectation dealer say";"afx share close high lead announce plan team up sanyo manufacture 3g handset nokian tyre fourth-quarter earnings report beat analyst expectation dealer say";"afx share close high lead announce plan team up sanyo manufacture [MEASUREMENT] handset nokian tyre fourth-quarter earnings report beat analyst expectation dealer say"
18;"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .";2;"incap contract manufacturing service pvt ltd subsidiary incap plan double revenue 2007 2008";"incap contract manufacturing service pvt ltd subsidiary incap plan double revenue 2007-2008";"incap contract manufacturing service pvt ltd subsidiary incap plan double revenue [DATE] [DATE]"
19;"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .";2;"board director propose dividend eur0 12 share 2010 up eur0 08 share pay 2009";"board director propose dividend eur0.12 share 2010 up eur0.08 share pay 2009";"board director propose dividend [MONEY] share [DATE] up [MONEY] share pay [DATE]"
20;"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .";2;"lifetree found 2000 revenue rise average 40 margin late 30";"lifetree found 2000 revenue rise average 40pct margin late 30";"lifetree found [DATE] revenue rise average [PERCENT] margin late 30"
21;"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .";2;"filippova trilateral agreement investment construction technology park st petersburg sign course forum day russian economy open";"filippova trilateral agreement investment construction technology park st petersburg sign course forum day russian economy open";"filippova trilateral agreement investment construction technology park st petersburg sign course forum day russian economy open"
22;"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .";2;"megafon subscriber increase 16 1 2009 50 5 million user december 31 market share number customer amount 24 late 2009 up 23 late 2008 teliasonera estimate";"megafon subscriber increase 16.1pct 2009 50.5mn user december 31 market share number customer amount 24pct late 2009 up 23pct late 2008 teliasonera estimate";"megafon subscriber increase [PERCENT] [DATE] [NUMBER] 5mn user december [NUMBER] market share number customer amount [PERCENT] late [DATE] up [PERCENT] late [DATE] teliasonera estimate"
23;"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .";2;"net income life insurance double eur 6 8 mn eur 3 2 mn net income non life insurance rise eur 5 2 mn eur 1 5 mn corresponding 2009";"net income life insurance double eur6.8mn eur3.2mn net income non-life insurance rise eur5.2mn eur1.5mn corresponding 2009";"net income life insurance double [MONEY] [MONEY] net income non-life insurance rise [MONEY] [MONEY] corresponding [DATE]"
24;"Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 )";2;"net sale increase eur193 3 eur179 9 pretax profit rise 34 2 eur43 1 eur1 usd1 4";"net sale increase eur193.3m eur179.9m pretax profit rise 34.2pct eur43.1m eur1 = usd1.4";"net sale increase [MONEY] [MEASUREMENT] [MONEY] [MEASUREMENT] pretax profit rise [PERCENT] [MONEY] [MEASUREMENT] [MONEY] = [MONEY]"
25;"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .";2;"net sale surge 18 5 eur167 8 teleste say eur20 4 12 2 sale come acquisition make 2009";"net sale surge 18.5pct eur167.8m teleste say eur20.4m 12.2pct sale come acquisition make 2009";"net sale surge [PERCENT] [MONEY] [MEASUREMENT] teleste say [MONEY] [MEASUREMENT] [PERCENT] sale come acquisition make [DATE]"
26;"Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .";2;"nordea operating profit increase 2010 18 percent 3 64 billion euro total revenue 3 percent 9 33 billion euro";"nordea operate profit increase 2010 18pct year-on-year eur3.64bn total revenue 3pct eur9.33bn";"nordea operate profit increase [DATE] [PERCENT] year-on-year [MONEY] total revenue [PERCENT] [MONEY]"
27;"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .";2;"operating profit nine month increase eur13 6 net sale increase eur394 7 compare corresponding 2005";"operating profit 9-month increase eur13.6m net sale increase eur394.7m compare corresponding 2005";"operating profit [NUMBER] -month increase [MONEY] [MEASUREMENT] net sale increase [MONEY] [MEASUREMENT] compare corresponding [DATE]"
28;"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .";2;"operating profit nine month increase eur3 1 net sale increase eur61 5 compare corresponding 2007";"operating profit 9-month increase eur3.1m net sale increase eur61.5m compare corresponding 2007";"operating profit [NUMBER] -month increase [MONEY] [MEASUREMENT] net sale increase [MONEY] [MEASUREMENT] compare corresponding [DATE]"
