Task_Setting;Pipeline_Configuration;Original_Sentence;Preprocessed_Text;True_Label;Predicted_Label
Multiclass;Naive Bayes (BoW | (1, 4));The most loyal customers were found in the Bank of +�land , with an index of 8.0 .;loyal customer find bank land index [NUMBER] .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .;rautaruukki stock exchange release [DATE] [DATE] [NUMBER] [NUMBER] noon ruukki construction engineering division improve adjust operation;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .;[NUMBER] -month sale ragutis control brewery olvi decline [PERCENT] [NUMBER] 41mn liter hold [PERCENT] market;negative;positive
Multiclass;Naive Bayes (BoW | (1, 4));The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .;say investment new market area result sale increase sweden poland russia lithuania;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));It is a member of the OneWorld alliance , which includes American Airlines and British Airways .;member oneworld alliance american airline british airway;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Okmetic has used the furnaces for the contract manufacturing of solar crystals .;okmetic furnace contract manufacturing solar crystal;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));The company will also be compensated for acting as a reserve batch plant .;compensate act reserve batch plant;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .;extension new contract [NUMBER] engines plant produce over 100mw say;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .;pulp paper machinery maker vaahto swung [MONEY] usd [NUMBER] 4mn net profit fiscal [DATE] [DATE] [DATE] [DATE] [NUMBER] [MONEY] usd [NUMBER] net loss fiscal [DATE] [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));Consumer products manufacturer Fiskars Corp. will open a distribution and warehouse center in Southaven , creating 100 jobs .;consumer product manufacturer fiskars corp open distribution warehouse center southaven create [NUMBER] job;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .;pretax profit jump eur [NUMBER] 9mn eur [NUMBER] 1mn;positive;negative
Multiclass;Naive Bayes (BoW | (1, 4));Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .;raw material price surge past fuel rapid industrialization china india develop nation;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 4));This is Done Logistics ' largest order in Norway , the diversified group said .;logistics large order norway diversified say;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 4));In Finland , the five largest brands control 90 % of the beer market .;[NUMBER] large brand control [PERCENT] beer market;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 4));Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .;relation city far damage comment mr ashley criticise city investor analyst cry baby;negative;neutral
