Task_Setting;Pipeline_Configuration;Original_Sentence;Preprocessed_Text;True_Label;Predicted_Label
Multiclass;Naive Bayes (BoW | (1, 3));`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .;`` delight announce support intel handheld platform , capability make development easy faster .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Vaisala Oyj Press Release September 30 , 2010 Vaisala has signed a contract to sell its oxygen measurement technology and business to SICK Maihak GmbH .;vaisala press release [DATE] [DATE] [NUMBER] vaisala sign contract sell oxygen measurement technology business sick maihak gmbh .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));It currently employs about 750 people and expects headcount to reach 1,000 by end of 2007 .;currently employ [NUMBER] people expect headcount reach [NUMBER] [DATE] .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .;eurochem cfo andrey ilyin say : `` facility mark another important step eurochem secure long-term financing necessary potash strategic project .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .;thomson financial share close little change , cargotec huhtamaki drop sharply disappointing second-quarter report .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .;raute post net profit [MONEY] [MONEY] third [DATE] , compare net loss [MONEY] [MONEY] corresponding [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . '';`` however , rapidly increase cost strengthening eur challenge whole industry , impact result .;negative;positive
Multiclass;Naive Bayes (BoW | (1, 3));Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level .;operating profit operation review total [MONEY] , remain [DATE] level .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));South America and Asia are other promising markets .;south america asia promise market .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .;vaisala say expect net sale [MONEY] [DATE] , compare [MONEY] record [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland .;olvi manage director lasse aho , ongoing mmx plus project aim find growth outside .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) .;investment product development stand [MONEY] ( [MONEY] ) .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));The price of GMO soy is 5 % -7 % lower than that of non-GMO .;price gmo soy [NUMBER] [PERCENT] low non-gmo .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .;withdraw second , [MONEY] , investment commitment .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .;far norwegian norske skog reduce staff level [NUMBER] people plan reduce production [NUMBER] ton [DATE] , finnish-swedish stora enso cut staff [NUMBER] people production [NUMBER] ton .;negative;neutral
Multiclass;Naive Bayes (BoW | (1, 3));`` The Government has had a very professional approach in assessing the offer .;`` government professional approach assess offer .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer .;luxembourg-registered investment fund amber trust ii win final approval lithuania competition council acquire [PERCENT] sanitas , country large pharmaceutical producer .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .;[DATE] , emphasis kyro strategy glaston growth .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));The group will expand the chain to include 45 stores .;expand chain [NUMBER] store .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .;energy fortum say [DATE] [DATE] [NUMBER] grant environmental permit build biofuel-fired combined heat power chp plant vartan harbor eastern stockholm .;positive;neutral
Multiclass;Naive Bayes (BoW | (1, 3));In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .;[DATE] , yit net sale increase [MONEY] , compare [MONEY] corresponding [DATE] .;positive;negative
Multiclass;Naive Bayes (BoW | (1, 3));Cymed 's net sales are expected to amount to EUR 3.5 mn in 2006 .;cymed net sale expect amount [MONEY] [DATE] .;neutral;negative
Multiclass;Naive Bayes (BoW | (1, 3));Cargotec 's share capital after the increase totals 64,046,460 euros .;cargotec share capital increase total [MONEY] .;neutral;positive
Multiclass;Naive Bayes (BoW | (1, 3));"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .";"tim cockroft brings excellent track record more [NUMBER] experience ; moreover , tim successfully develop capital market operation kaupthing singer & friedlander involve finance broking focus mid-market .";positive;neutral
