Sentence;True Label;FFNN;Naive Bayes
( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . );neutral;positive;neutral
( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli;positive;neutral;positive
( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .;neutral;negative;neutral
( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o;negative;negative;positive
- Profit before taxes was EUR 105.9 82.7 million .;neutral;neutral;positive
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .;positive;neutral;positive
2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .;positive;positive;negative
26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions .;neutral;positive;neutral
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .;negative;negative;neutral
8,600 m , and at the time of investment it is fully leased to several tenants .;neutral;positive;neutral
A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added .;neutral;negative;neutral
A total of 140 jobs will be reduced at the Raahe Steel Works .;negative;negative;neutral
ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .;neutral;neutral;positive
According to Olvi , the company is already negotiating new agreements .;neutral;positive;neutral
According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .;negative;neutral;positive
After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn .;neutral;neutral;positive
After the renovation the biggest moulding line in the Orhangazi foundry is the most modern line in Europe .;positive;positive;neutral
Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .;positive;neutral;positive
Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .;neutral;positive;neutral
An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .;neutral;positive;neutral
Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .;neutral;positive;neutral
Applying for summer work is seen as laborious and stressful .;negative;positive;neutral
Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .;positive;positive;neutral
As a consequence of the merger the number of administration personnel at the factories will be reduced by six .;neutral;negative;neutral
As a result , a total of 82 employees would be given notice .;neutral;negative;neutral
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .;negative;negative;neutral
Asimilar agreement was signed between China Mobile Ltd. ( SEHK : 0941 and NYSE : CHL ) , the largest mobile carrier , and theGPS and social networking service provider , promoting GyPSii service before Beijing 2008 Olympic Games , according to thelatest news .;positive;positive;neutral
Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .;neutral;neutral;negative
At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .;positive;positive;neutral
Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .;positive;positive;neutral
Biohit , Inc. , has expanded its mLINE Family of Pipettors with the addition of the NEW 1-10 ml volume range .;neutral;positive;neutral
Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .;negative;negative;neutral
Calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .;neutral;negative;neutral
Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move .;neutral;positive;neutral
Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .;negative;negative;neutral
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .;neutral;positive;neutral
Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .;positive;positive;neutral
Cramo 's manager Jarmo Laasanen said hiring of equipment and machinery in Lithuania differs from the other Baltic countries in that in Lithuania still many public structures such as roads , bridges , airports and shops are being built .;neutral;positive;neutral
Delivery is due in the second half of 2011 .;neutral;positive;negative
Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .;positive;positive;neutral
Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .;positive;negative;neutral
EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .;positive;positive;negative
